Country,Date Start,Keywords
Norway,2020-02-26,"case reporting, first case"
Germany,2020-03-13,"nursery school closure, school closure"
Czechia,2020-03-01,"case reporting, first case"
Czechia,2020-03-05,"event cancellation - other, very large event cancellation or postponement"
US: Florida,2020-03-15,activity cancellation - other
Czechia,2020-03-08,"contact isolation - symptoms, remote medical treatment, remote medical treatment - symptomatic"
Germany,2020-03-16,international travel ban - all countries
Czechia,2020-03-03,prohibition of medicine export
Czechia,2020-03-04,public hygiene
Romania,2020-02-26,coronavirus education activities
Czechia,2020-03-05,international travel ban - risk countries
Czechia,2020-03-05,prohibition of medicine export
Iran,2020-03-06,"school closure, university closure"
Germany,2020-03-16,general nonessential business suspension
Germany,2020-03-17,outbound traveller ban
Germany,2020-03-17,domestic travel limitation
Germany,2020-03-16,"emergency declaration, special management arrangements, state of emergency"
Germany,2020-03-14,limited nonessential business suspension
Serbia,2020-03-18,international travel ban - all countries
Serbia,2020-03-15,"emergency declaration, state of emergency"
Czechia,2020-03-10,visiting in hospital banned
Montenegro,2020-03-17,limited nonessential business suspension
Serbia,2020-03-12,indoor gatherings banned
Serbia,2020-03-18,"blanket curfew - no symptoms, elderly"
Czechia,2020-02-07,public facility cleaning
Czechia,2020-03-16,international travel ban - all countries
Czechia,2020-02-03,international travel ban - risk countries
Czechia,2020-02-26,international traveller screening - risk countries
Czechia,2020-02-25,outbound travel warning
Czechia,2020-03-19,hygiene enforcement
Czechia,2020-03-17,prohibition of medicine export
Czechia,2020-03-16,public announcement
Czechia,2020-03-16,business resumed
Czechia,2020-03-16,"domestic travel ban, social distancing"
Czechia,2020-01-27,hygiene enforcement
Czechia,2020-01-30,public announcement
Czechia,2020-01-31,international traveller screening - all countries
Czechia,2020-02-13,public announcement
Czechia,2020-02-24,public announcement
Czechia,2020-02-27,"public announcement, special management arrangements"
Czechia,2020-03-19,hygiene enforcement
Czechia,2020-03-19,domestic travel limitation
